"code";"Weights";"Predictors";"Ensamble";"Probability";"upper";"lower";"Age_group";"Gender";"num_pats.";"prevalence"
"A01";"1";"O_M_A01";0,514003674724206;0,376711696004138;0,385394369999479;0,368107476671561;"[75,108)";"M";78700;0,03
"A01";"1";"O_M_A01";0,490064629923248;0,337150655172371;0,346304032399099;0,328117777286665;"[75,108)";"F";78700;0,03
"A02BC01";"1";"O_M_A02BC01";0,423129237118195;0,399929016383779;0,405959413466189;0,393928795585772;"[18, 65)";"M";183324;0,07
"A02BC01";"1";"O_M_A02BC01";0,340929451139906;0,39550904685692;0,415188667998957;0,376162229851796;"[0, 18)";"F";183324;0,07
"A02BC01";"1";"O_M_A02BC01";0,499755175467111;0,437374637488752;0,443840155398638;0,430930326964095;"[18, 65)";"F";183324;0,07
"A02BC01";"1";"O_M_A02BC01";0,348029353314809;0,415631011800447;0,434002190330264;0,397491350819295;"[0, 18)";"M";183324;0,07
"A02BC05";"2";"O_M_A02BC05";0,547369107855644;0,428215549669803;0,447933311219161;0,408723154135942;"[0, 18)";"M";61102;0,02
"A02BC05";"2";"O_M_A02BC05";0,502919354803603;0,405596860864826;0,426376482937188;0,385149979151801;"[0, 18)";"F";61102;0,02
"A06";"2";"O_M_A06";0,568638321051663;0,429564099533113;0,4494249715694;0,409927437618533;"[0, 18)";"M";197608;0,08
"A06";"1";"O_M_A06";0,439074397476055;0,428963569663223;0,435196590826434;0,4227530005963;"[18, 65)";"F";197608;0,08
"A06";"2";"S_M_A06";0,464966341974496;0,423001131103216;0,442163287993711;0,404067885553806;"[0, 18)";"M";197608;0,08
"A06";"1";"O_M_A06";0,40112652070571;0,396922831066949;0,402873404050979;0,391002597771391;"[18, 65)";"M";197608;0,08
"A06";"2";"S_M_A06";0,427381967381045;0,400882340764906;0,421149390911009;0,380948738768002;"[0, 18)";"F";197608;0,08
"A06";"3";"O_M_A06";0,555186742281821;0,408869304617694;0,430003047011981;0,388067084531348;"[0, 18)";"F";197608;0,08
"A07";"2";"O_M_A07";0,439273376575918;0,40162332852535;0,421971121514375;0,381608952657545;"[0, 18)";"F";48305;0,02
"A07";"2";"O_M_A07";0,470251096409689;0,423335047093789;0,442532886917145;0,404365934809786;"[0, 18)";"M";48305;0,02
"A07";"1";"O_M_A07";0,459749221424087;0,301148799395289;0,31346720059021;0,289110623530489;"[65, 75)";"F";48305;0,02
"A12";"1";"S_M_A12";0,312845694379262;0,393768902360389;0,413257590927629;0,374612489689863;"[0, 18)";"F";77890;0,03
"A12";"2";"O_M_A12";0,430443662510609;0,401073080587496;0,421360921297849;0,381118682861621;"[0, 18)";"F";77890;0,03
"A12";"1";"O_M_A12";0,391482668231784;0,395607646346902;0,401523202139079;0,389722490205264;"[18, 65)";"M";77890;0,03
"A12";"1";"O_M_A12";0,47438537270314;0,302319357414991;0,314710760796201;0,290209235122433;"[65, 75)";"F";77890;0,03
"A12";"1";"O_M_A12";0,444265778913194;0,421693850860786;0,440716176975064;0,40290109983867;"[0, 18)";"M";77890;0,03
"B01AC06";"1";"O_M_B01AC06";0,326804047225202;0,394633465280372;0,414217056571763;0,375382431503527;"[0, 18)";"F";79468;0,03
"B03BB01";"1";"O_M_B03BB01";0,354507928676136;0,41603837913726;0,43445344038916;0,397854762217456;"[0, 18)";"M";59891;0,02
"B03BB01";"1";"O_M_B03BB01";0,306218183874687;0,393358635093668;0,412802260857326;0,374247138434534;"[0, 18)";"F";59891;0,02
"C03CA01";"2";"O_M_C03CA01";0,581938826667116;0,367018159558702;0,37712567476203;0,357026265102721;"[65, 75)";"M";49425;0,02
"C03CA01";"1";"O_M_C03CA01";0,545112211137033;0,308011987371938;0,320757367738024;0,295552684995557;"[65, 75)";"F";49425;0,02
"C03CA01";"2";"O_M_C03CA01";0,579551772793492;0,340864071860716;0,350212453204375;0,331637870864654;"[75,108)";"F";49425;0,02
"C03CA01";"1";"O_M_C03CA01";0,373875648860034;0,417256887106684;0,435803098946005;0,398941852020076;"[0, 18)";"M";49425;0,02
"C03CA01";"1";"O_M_C03CA01";0,405583133679536;0,397531108550647;0,403497857789904;0,391594668906151;"[18, 65)";"M";49425;0,02
"C03CA01";"1";"O_M_C03CA01";0,353836227980273;0,396309676721963;0,416077033720524;0,376875315110981;"[0, 18)";"F";49425;0,02
"C03CA01";"1";"O_M_C03CA01";0,540875646957041;0,377722795136009;0,386460290641817;0,369064015457783;"[75,108)";"M";49425;0,02
"C07AB02";"1";"O_M_C07AB02";0,487446419205529;0,37571349223284;0,384342012192878;0,367163158920642;"[75,108)";"M";86989;0,04
