"code";"Weights";"Predictors";"Ensamble";"Probability";"upper";"lower";"Age_group";"Gender";"num_pats.";"prevalence";"Pred_Ens_Weights";"pathString"
"A02BC02";"1";"O_M_A02BC02";0,313083832771783;0,181239419288432;0,212888830531302;0,153378344316229;"[65, 75)";"M";432585;0,08;"O_M_A02BC02, 0.31, 10.18,0.08";"AllWaves|[65, 75)|M|O_M_A02BC02, 0.31, 10.18,0.08"
"A02BC02";"1";"O_M_A02BC02";0,307763695163454;0,190381929387606;0,229833276428582;0,156327929426726;"[75,102)";"F";432585;0,08;"O_M_A02BC02, 0.31, 10.19,0.08";"AllWaves|[75,102)|F|O_M_A02BC02, 0.31, 10.19,0.08"
"A02BC05";"1";"O_M_A02BC05";0,316966782528852;0,456220676320895;0,524709955001457;0,389347889071434;"[0, 18)";"M";254419;0,05;"O_M_A02BC05, 0.32, 10.46,0.05";"AllWaves|[0, 18)|M|O_M_A02BC05, 0.32, 10.46,0.05"
"A10BA02";"1";"O_M_A10BA02";0,294025427136899;0,38002971682265;0,397633867960039;0,362735613297675;"[18, 65)";"M";147153;0,03;"O_M_A10BA02, 0.29, 10.38,0.03";"AllWaves|[18, 65)|M|O_M_A10BA02, 0.29, 10.38,0.03"
"A10BA02";"1";"O_M_A10BA02";0,311189952680432;0,181102850083723;0,212720407745381;0,153269843955898;"[65, 75)";"M";147153;0,03;"O_M_A10BA02, 0.31, 10.18,0.03";"AllWaves|[65, 75)|M|O_M_A10BA02, 0.31, 10.18,0.03"
"A11CC05";"1";"O_M_A11CC05";0,310328468575909;0,181040754304008;0,212643828134453;0,153220510349055;"[65, 75)";"M";271596;0,05;"O_M_A11CC05, 0.31, 10.18,0.05";"AllWaves|[65, 75)|M|O_M_A11CC05, 0.31, 10.18,0.05"
"A11CC05";"1";"O_M_A11CC05";0,292291842969731;0,189678216820241;0,228921663871186;0,155802844048101;"[75,102)";"F";271596;0,05;"O_M_A11CC05, 0.29, 10.19,0.05";"AllWaves|[75,102)|F|O_M_A11CC05, 0.29, 10.19,0.05"
"A12AX";"1";"O_M_A12AX";0,289257158525568;0,189540422975648;0,228743156642418;0,155700021471926;"[75,102)";"F";198866;0,04;"O_M_A12AX, 0.29, 10.19,0.04";"AllWaves|[75,102)|F|O_M_A12AX, 0.29, 10.19,0.04"
"C07AB02";"1";"O_M_C07AB02";0,291424625625678;0,189638831846036;0,228870642127121;0,155773454941123;"[75,102)";"F";333275;0,06;"O_M_C07AB02, 0.29, 10.19,0.06";"AllWaves|[75,102)|F|O_M_C07AB02, 0.29, 10.19,0.06"
"C08CA01";"1";"O_M_C08CA01";0,296169203634554;0,439427374431749;0,508917769295423;0,372233354532934;"[0, 18)";"F";192897;0,03;"O_M_C08CA01, 0.3, 10.44,0.03";"AllWaves|[0, 18)|F|O_M_C08CA01, 0.3, 10.44,0.03"
"C08CA01";"1";"O_M_C08CA01";0,306334490118723;0,455118053865126;0,523172647171404;0,388699603986866;"[0, 18)";"M";192897;0,03;"O_M_C08CA01, 0.31, 10.46,0.03";"AllWaves|[0, 18)|M|O_M_C08CA01, 0.31, 10.46,0.03"
"E11";"1";"O_H_diag_E11";0,342055301410904;0,333696485201603;0,365232253720944;0,303581393507768;"[75,102)";"M";208414;0,04;"O_H_diag_E11, 0.34, 10.33,0.04";"AllWaves|[75,102)|M|O_H_diag_E11, 0.34, 10.33,0.04"
"E11";"2";"O_H_diag_E11";0,342456077674436;0,388322713718708;0,406607972483575;0,370346540051097;"[18, 65)";"M";208414;0,04;"O_H_diag_E11, 0.34, 20.39,0.04";"AllWaves|[18, 65)|M|O_H_diag_E11, 0.34, 20.39,0.04"
"E11";"1";"O_H_diag_E11";0,334466266045942;0,392646890028414;0,402654843366864;0,382728307580173;"All";"Both";208414;0,04;"O_H_diag_E11, 0.33, 10.39,0.04";"AllWaves|All|Both|O_H_diag_E11, 0.33, 10.39,0.04"
"E11";"2";"O_H_diag_E11";0,377660031652076;0,185944115669579;0,218689779085121;0,157115650775248;"[65, 75)";"M";208414;0,04;"O_H_diag_E11, 0.38, 20.19,0.04";"AllWaves|[65, 75)|M|O_H_diag_E11, 0.38, 20.19,0.04"
"E11";"1";"O_H_diag_E11";0,310495264639622;0,190506377660322;0,229994486699673;0,156420783320604;"[75,102)";"F";208414;0,04;"O_H_diag_E11, 0.31, 10.19,0.04";"AllWaves|[75,102)|F|O_H_diag_E11, 0.31, 10.19,0.04"
"E86";"2";"O_H_diag_E86";0,35252405114678;0,39528195152801;0,405413621763966;0,385239430078155;"All";"Both";135619;0,02;"O_H_diag_E86, 0.35, 20.4,0.02";"AllWaves|All|Both|O_H_diag_E86, 0.35, 20.4,0.02"
"E86";"2";"O_H_diag_E86";0,377550591538371;0,1859360632924;0,218679852354701;0,157109254783562;"[65, 75)";"M";135619;0,02;"O_H_diag_E86, 0.38, 20.19,0.02";"AllWaves|[65, 75)|M|O_H_diag_E86, 0.38, 20.19,0.02"
"E86";"3";"O_H_diag_E86";0,350989238619452;0,459751808951926;0,529625924185579;0,391424967826221;"[0, 18)";"M";135619;0,02;"O_H_diag_E86, 0.35, 30.46,0.02";"AllWaves|[0, 18)|M|O_H_diag_E86, 0.35, 30.46,0.02"
"E86";"2";"O_H_diag_E86";0,404258906860025;0,34758840951218;0,394624338870331;0,303349497766451;"[65, 75)";"F";135619;0,02;"O_H_diag_E86, 0.4, 20.35,0.02";"AllWaves|[65, 75)|F|O_H_diag_E86, 0.4, 20.35,0.02"
"E86";"2";"O_H_diag_E86";0,35065363316485;0,192343144621571;0,232373677715854;0,157791071364552;"[75,102)";"F";135619;0,02;"O_H_diag_E86, 0.35, 20.19,0.02";"AllWaves|[75,102)|F|O_H_diag_E86, 0.35, 20.19,0.02"
"E86";"2";"O_H_diag_E86";0,351722292324414;0,389916971189215;0,408332311796243;0,371810239942899;"[18, 65)";"M";135619;0,02;"O_H_diag_E86, 0.35, 20.39,0.02";"AllWaves|[18, 65)|M|O_H_diag_E86, 0.35, 20.39,0.02"
"E86";"1";"O_H_diag_E86";0,338432173727156;0,333273971983678;0,364745126363132;0,303222099937446;"[75,102)";"M";135619;0,02;"O_H_diag_E86, 0.34, 10.33,0.02";"AllWaves|[75,102)|M|O_H_diag_E86, 0.34, 10.33,0.02"
"E86";"4";"O_H_diag_E86";0,382482546582138;0,450661802401255;0,52411546648514;0,379297516787984;"[0, 18)";"F";135619;0,02;"O_H_diag_E86, 0.38, 40.45,0.02";"AllWaves|[0, 18)|F|O_H_diag_E86, 0.38, 40.45,0.02"
"E86";"1";"O_H_diag_E86";0,339782624146655;0,419180549229647;0,441835926917166;0,396860880300134;"[18, 65)";"F";135619;0,02;"O_H_diag_E86, 0.34, 10.42,0.02";"AllWaves|[18, 65)|F|O_H_diag_E86, 0.34, 10.42,0.02"
"E87";"2";"O_H_diag_E87";0,342400825025317;0,388313214596197;0,406597697436347;0,370337819401923;"[18, 65)";"M";99852;0,02;"O_H_diag_E87, 0.34, 20.39,0.02";"AllWaves|[18, 65)|M|O_H_diag_E87, 0.34, 20.39,0.02"
"E87";"2";"O_H_diag_E87";0,346067349951948;0,39433905722525;0,404426503240137;0,384340848941192;"All";"Both";99852;0,02;"O_H_diag_E87, 0.35, 20.39,0.02";"AllWaves|All|Both|O_H_diag_E87, 0.35, 20.39,0.02"
"E87";"1";"O_H_diag_E87";0,310751986887289;0,455576117797575;0,523811421651347;0,388968905318694;"[0, 18)";"M";99852;0,02;"O_H_diag_E87, 0.31, 10.46,0.02";"AllWaves|[0, 18)|M|O_H_diag_E87, 0.31, 10.46,0.02"
"E87";"1";"O_H_diag_E87";0,320013717953727;0,41238552675488;0,434481720847176;0,390636837232789;"[18, 65)";"F";99852;0,02;"O_H_diag_E87, 0.32, 10.41,0.02";"AllWaves|[18, 65)|F|O_H_diag_E87, 0.32, 10.41,0.02"
"E87";"2";"O_H_diag_E87";0,399565858217637;0,346858092669678;0,393744750492894;0,302766365600959;"[65, 75)";"F";99852;0,02;"O_H_diag_E87, 0.4, 20.35,0.02";"AllWaves|[65, 75)|F|O_H_diag_E87, 0.4, 20.35,0.02"
"E87";"3";"O_H_diag_E87";0,364091931171108;0,192960791684973;0,233173654273838;0,15825178769291;"[75,102)";"F";99852;0,02;"O_H_diag_E87, 0.36, 30.19,0.02";"AllWaves|[75,102)|F|O_H_diag_E87, 0.36, 30.19,0.02"
"E87";"1";"O_H_diag_E87";0,327269807262251;0,331973951107105;0,363246097014881;0,302116676856476;"[75,102)";"M";99852;0,02;"O_H_diag_E87, 0.33, 10.33,0.02";"AllWaves|[75,102)|M|O_H_diag_E87, 0.33, 10.33,0.02"
"E87";"2";"O_H_diag_E87";0,344789951899056;0,445748905128881;0,517482541446182;0,376206138120237;"[0, 18)";"F";99852;0,02;"O_H_diag_E87, 0.34, 20.45,0.02";"AllWaves|[0, 18)|F|O_H_diag_E87, 0.34, 20.45,0.02"
"E87";"3";"O_H_diag_E87";0,413075147408551;0,188564029947943;0,221919132660645;0,159196554498164;"[65, 75)";"M";99852;0,02;"O_H_diag_E87, 0.41, 30.19,0.02";"AllWaves|[65, 75)|M|O_H_diag_E87, 0.41, 30.19,0.02"
"G47";"1";"O_H_diag_G47";0,313123479321524;0,455822056258405;0,52415430984449;0,389113505225889;"[0, 18)";"M";228931;0,04;"O_H_diag_G47, 0.31, 10.46,0.04";"AllWaves|[0, 18)|M|O_H_diag_G47, 0.31, 10.46,0.04"
"G47";"1";"O_H_diag_G47";0,302537785329648;0,440254326668122;0,510040030783327;0,372752760819652;"[0, 18)";"F";228931;0,04;"O_H_diag_G47, 0.3, 10.44,0.04";"AllWaves|[0, 18)|F|O_H_diag_G47, 0.3, 10.44,0.04"
